month,duration,pdays,cons.conf.idx,euribor3m,nr.employed
6,132,999,-42.0,4.223,5195.8
1,365,999,-36.4,4.857,5191.0
3,240,999,-42.7,4.957,5228.1
3,671,999,-42.7,4.963,5228.1
3,658,999,-42.7,4.957,5228.1
1,141,999,-46.2,1.266,5099.1
1,18,999,-46.2,1.327,5099.1
3,53,999,-42.7,4.962,5228.1
8,103,999,-50.0,1.6869999999999998,5099.1
3,168,999,-42.7,4.958,5228.1
6,451,999,-42.0,4.021,5195.8
1,357,999,-36.4,4.8580000000000005,5191.0
4,718,999,-36.1,4.9639999999999995,5228.1
2,121,999,-39.8,0.767,4991.6
3,238,999,-42.7,4.961,5228.1
1,150,999,-46.2,1.291,5099.1
4,162,999,-31.4,0.883,5076.2
1,286,999,-46.2,1.291,5099.1
3,410,999,-42.7,4.958,5228.1
1,73,999,-46.2,1.27,5099.1
6,103,999,-42.0,4.12,5195.8
1,264,999,-36.4,4.856,5191.0
2,25,999,-41.8,4.959,5228.1
3,85,999,-42.7,4.968,5228.1
4,27,999,-36.1,4.9639999999999995,5228.1
3,103,999,-42.7,4.96,5228.1
2,80,999,-41.8,4.865,5228.1
9,64,999,-47.1,1.405,5099.1
2,76,999,-41.8,4.865,5228.1
1,371,999,-36.4,4.856,5191.0
1,79,999,-46.2,1.2990000000000002,5099.1
1,125,999,-46.2,1.291,5099.1
4,256,999,-36.1,4.965,5228.1
8,193,5,-34.8,0.634,5008.7
3,28,999,-42.7,4.961,5228.1
1,147,999,-36.4,4.857,5191.0
9,191,999,-47.1,1.405,5099.1
9,1032,999,-47.1,1.445,5099.1
4,551,999,-36.1,4.963,5228.1
6,167,999,-30.1,0.7140000000000001,5017.5
2,220,999,-41.8,4.96,5228.1
2,13,999,-39.8,0.711,4991.6
2,118,3,-40.8,1.262,5076.2
1,227,999,-46.2,1.327,5099.1
1,72,999,-36.4,4.857,5191.0
3,599,999,-42.7,4.961,5228.1
4,543,999,-31.4,0.8590000000000001,5076.2
1,61,999,-46.2,1.244,5099.1
2,345,999,-41.8,4.96,5228.1
9,307,999,-47.1,1.405,5099.1
3,317,999,-33.6,1.072,5076.2
2,113,999,-41.8,4.959,5228.1
4,170,999,-36.1,4.965,5228.1
3,35,999,-42.7,4.968,5228.1
6,212,999,-42.0,4.191,5195.8
6,155,999,-42.0,4.191,5195.8
3,213,999,-42.7,4.961,5228.1
1,78,999,-36.4,4.864,5191.0
6,339,999,-42.0,4.12,5195.8
4,96,999,-36.1,4.962,5228.1
9,201,999,-47.1,1.405,5099.1
1,65,999,-46.2,1.281,5099.1
3,56,999,-42.7,4.962,5228.1
3,28,999,-42.7,4.968,5228.1
2,232,999,-41.8,4.961,5228.1
3,120,999,-42.7,4.963,5228.1
4,102,999,-36.1,4.963,5228.1
6,70,999,-42.0,4.021,5195.8
9,266,2,-47.1,1.365,5099.1
1,188,999,-36.4,4.86,5191.0
2,217,999,-40.8,1.26,5076.2
6,241,999,-42.0,4.1530000000000005,5195.8
1,16,999,-36.4,4.864,5191.0
4,220,999,-31.4,0.861,5076.2
3,230,999,-42.7,4.963,5228.1
3,436,999,-42.7,4.963,5228.1
3,613,999,-42.7,4.963,5228.1
1,231,999,-36.4,4.856,5191.0
3,178,999,-42.7,4.962,5228.1
1,70,999,-36.4,4.859,5191.0
1,211,999,-46.2,1.344,5099.1
2,178,999,-41.8,4.96,5228.1
9,133,999,-47.1,1.423,5099.1
6,105,999,-42.0,4.1530000000000005,5195.8
1,141,999,-36.4,4.857,5191.0
1,7,999,-36.4,4.86,5191.0
3,421,999,-42.7,4.963,5228.1
1,303,999,-36.4,4.86,5191.0
1,244,999,-36.4,4.856,5191.0
10,154,999,-29.8,0.8029999999999999,5017.5
2,472,999,-39.8,0.72,4991.6
4,171,999,-36.1,4.963,5228.1
3,1206,999,-42.7,4.962,5228.1
4,36,999,-31.4,0.825,5076.2
4,131,999,-31.4,0.879,5076.2
3,316,999,-42.7,4.96,5228.1
1,107,999,-46.2,1.27,5099.1
6,166,7,-30.1,0.715,5017.5
3,1077,999,-42.7,4.961,5228.1
1,78,999,-36.4,4.857,5191.0
4,331,999,-36.1,4.965,5228.1
3,117,999,-42.7,4.961,5228.1
1,13,999,-46.2,1.25,5099.1
1,96,999,-36.4,4.856,5191.0
8,197,999,-50.0,1.663,5099.1
2,265,999,-39.8,0.7609999999999999,4991.6
2,317,999,-41.8,4.958,5228.1
10,154,999,-37.5,0.884,4963.6
1,62,999,-36.4,4.855,5191.0
2,459,999,-40.8,1.252,5076.2
1,352,999,-46.2,1.291,5099.1
4,320,3,-31.4,0.873,5076.2
1,93,999,-36.4,4.856,5191.0
2,162,999,-41.8,4.947,5228.1
3,239,999,-42.7,4.962,5228.1
1,152,999,-36.4,4.859,5191.0
1,554,999,-36.4,4.859,5191.0
3,336,999,-42.7,4.963,5228.1
4,159,4,-31.4,0.8690000000000001,5076.2
4,205,999,-36.1,4.967,5228.1
1,69,999,-46.2,1.244,5099.1
1,118,999,-36.4,4.857,5191.0
10,490,999,-37.5,0.883,4963.6
1,659,999,-46.2,1.25,5099.1
1,182,999,-46.2,1.266,5099.1
3,168,999,-42.7,4.962,5228.1
3,261,999,-42.7,4.962,5228.1
9,210,999,-47.1,1.453,5099.1
6,78,999,-42.0,4.191,5195.8
1,384,999,-36.4,4.8580000000000005,5191.0
4,90,999,-36.1,4.97,5228.1
6,514,999,-42.0,4.1530000000000005,5195.8
2,93,999,-41.8,4.958,5228.1
1,200,999,-36.4,4.857,5191.0
2,986,999,-41.8,4.961,5228.1
6,747,999,-42.0,4.191,5195.8
1,188,999,-36.4,4.857,5191.0
4,133,999,-31.4,0.861,5076.2
3,1065,999,-42.7,4.963,5228.1
1,126,999,-36.4,4.856,5191.0
9,452,999,-47.1,1.405,5099.1
2,90,999,-40.8,1.26,5076.2
6,68,999,-42.0,4.0760000000000005,5195.8
2,402,999,-41.8,4.959,5228.1
4,242,999,-36.1,4.963,5228.1
1,16,999,-46.2,1.25,5099.1
3,268,999,-42.7,4.968,5228.1
9,75,999,-47.1,1.415,5099.1
6,108,999,-42.0,4.12,5195.8
1,456,999,-46.2,1.3130000000000002,5099.1
2,221,999,-41.8,4.962,5228.1
6,151,999,-42.0,4.191,5195.8
1,923,999,-46.2,1.327,5099.1
1,207,999,-36.4,4.857,5191.0
1,254,999,-46.2,1.3130000000000002,5099.1
1,475,999,-36.4,4.864,5191.0
9,374,999,-47.1,1.405,5099.1
6,124,999,-42.0,4.1530000000000005,5195.8
4,158,999,-36.1,4.965,5228.1
1,81,999,-36.4,4.855,5191.0
1,715,999,-46.2,1.244,5099.1
1,922,999,-46.2,1.354,5099.1
3,255,999,-42.7,4.957,5228.1
9,1143,999,-47.1,1.365,5099.1
1,310,999,-36.4,4.857,5191.0
1,1867,999,-36.4,4.86,5191.0
2,109,999,-41.8,4.96,5228.1
1,13,999,-36.4,4.855,5191.0
4,101,999,-36.1,4.963,5228.1
9,244,999,-47.1,1.415,5099.1
9,175,999,-47.1,1.405,5099.1
3,157,999,-42.7,4.957,5228.1
4,181,999,-36.1,4.965,5228.1
4,217,999,-36.1,4.965,5228.1
5,110,999,-49.5,0.977,4963.6
2,42,999,-41.8,4.961,5228.1
2,465,999,-41.8,4.955,5228.1
8,148,999,-34.8,0.654,5008.7
3,192,999,-42.7,4.96,5228.1
1,200,999,-46.2,1.281,5099.1
9,158,999,-47.1,1.415,5099.1
3,276,999,-42.7,4.957,5228.1
6,192,999,-42.0,4.1530000000000005,5195.8
9,355,999,-47.1,1.453,5099.1
1,239,999,-36.4,4.857,5191.0
3,190,999,-42.7,4.963,5228.1
2,147,999,-41.8,4.865,5228.1
6,669,999,-42.0,4.191,5195.8
1,155,999,-46.2,1.334,5099.1
2,135,999,-41.8,4.864,5228.1
4,881,999,-36.1,4.9639999999999995,5228.1
3,411,999,-42.7,4.963,5228.1
9,1080,999,-47.1,1.405,5099.1
1,632,999,-46.2,1.266,5099.1
1,355,999,-36.4,4.859,5191.0
6,231,999,-42.0,4.0760000000000005,5195.8
1,307,999,-36.4,4.857,5191.0
3,97,999,-42.7,4.962,5228.1
8,170,999,-50.0,1.556,5099.1
6,135,999,-42.0,4.1530000000000005,5195.8
6,68,999,-42.0,4.12,5195.8
3,6,999,-42.7,4.968,5228.1
4,246,999,-36.1,4.966,5228.1
2,30,14,-39.8,0.713,4991.6
5,146,999,-49.5,0.977,4963.6
4,180,999,-36.1,4.963,5228.1
4,83,999,-31.4,0.851,5076.2
6,671,999,-42.0,4.021,5195.8
1,200,999,-46.2,1.344,5099.1
3,296,999,-42.7,4.963,5228.1
3,564,999,-42.7,4.96,5228.1
2,222,999,-41.8,4.8660000000000005,5228.1
4,173,999,-36.1,4.968,5228.1
3,264,999,-42.7,4.963,5228.1
1,155,999,-46.2,1.25,5099.1
3,207,999,-42.7,4.961,5228.1
4,561,999,-36.1,4.9639999999999995,5228.1
9,216,999,-47.1,1.365,5099.1
10,164,3,-37.5,0.879,4963.6
3,199,999,-42.7,4.961,5228.1
2,99,999,-41.8,4.864,5228.1
3,60,999,-42.7,4.956,5228.1
1,239,999,-46.2,1.327,5099.1
4,57,999,-36.1,4.9639999999999995,5228.1
1,955,999,-36.4,4.857,5191.0
2,68,999,-41.8,4.865,5228.1
9,126,999,-47.1,1.405,5099.1
3,47,999,-42.7,4.963,5228.1
3,85,999,-42.7,4.963,5228.1
6,223,999,-42.0,4.0760000000000005,5195.8
1,152,999,-46.2,1.25,5099.1
2,288,999,-41.8,4.961,5228.1
3,270,999,-42.7,4.96,5228.1
1,23,999,-46.2,1.281,5099.1
4,132,999,-36.1,4.9639999999999995,5228.1
1,215,999,-46.2,1.291,5099.1
4,184,999,-36.1,4.97,5228.1
6,186,999,-42.0,4.021,5195.8
4,219,999,-36.1,4.966,5228.1
2,11,999,-41.8,4.959,5228.1
3,135,999,-33.6,1.072,5076.2
2,256,999,-41.8,4.961,5228.1
3,289,999,-42.7,4.962,5228.1
2,100,999,-41.8,4.962,5228.1
1,999,999,-36.4,4.856,5191.0
2,191,999,-41.8,4.961,5228.1
1,108,999,-46.2,1.244,5099.1
1,110,999,-36.4,4.856,5191.0
9,246,999,-47.1,1.405,5099.1
3,280,999,-42.7,4.961,5228.1
3,22,999,-42.7,4.968,5228.1
4,227,999,-36.1,4.9639999999999995,5228.1
3,362,999,-42.7,4.962,5228.1
1,194,999,-36.4,4.86,5191.0
1,562,6,-46.2,1.281,5099.1
9,251,999,-47.1,1.405,5099.1
1,18,999,-46.2,1.281,5099.1
1,200,999,-36.4,4.857,5191.0
6,74,999,-42.0,4.021,5195.8
1,314,999,-36.4,4.857,5191.0
1,464,999,-46.2,1.291,5099.1
1,124,999,-46.2,1.25,5099.1
6,397,999,-42.0,4.191,5195.8
3,561,999,-40.3,0.846,4991.6
1,369,999,-36.4,4.856,5191.0
6,564,999,-42.0,4.191,5195.8
4,208,999,-36.1,4.963,5228.1
2,22,999,-39.8,0.742,4991.6
2,182,999,-41.8,4.967,5228.1
3,622,999,-42.7,4.963,5228.1
1,9,999,-46.2,1.25,5099.1
1,400,999,-46.2,1.266,5099.1
9,64,999,-47.1,1.405,5099.1
1,109,999,-46.2,1.291,5099.1
1,172,999,-36.4,4.857,5191.0
1,299,999,-46.2,1.2990000000000002,5099.1
3,380,999,-42.7,4.962,5228.1
4,102,999,-36.1,4.968,5228.1
4,104,999,-31.4,0.8490000000000001,5076.2
3,103,999,-42.7,4.962,5228.1
2,94,999,-40.8,1.26,5076.2
1,35,999,-36.4,4.8580000000000005,5191.0
1,252,999,-36.4,4.857,5191.0
2,197,999,-41.8,4.864,5228.1
3,486,999,-33.6,0.9079999999999999,5076.2
4,148,999,-36.1,4.965,5228.1
5,250,999,-26.9,0.754,5017.5
3,496,6,-40.3,0.8959999999999999,4991.6
1,195,999,-46.2,1.244,5099.1
1,65,999,-36.4,4.8580000000000005,5191.0
9,158,999,-47.1,1.466,5099.1
4,247,999,-36.1,4.9639999999999995,5228.1
4,300,999,-36.1,4.965,5228.1
3,16,999,-42.7,4.963,5228.1
4,135,999,-36.1,4.9639999999999995,5228.1
2,200,999,-40.8,1.26,5076.2
1,226,999,-46.2,1.244,5099.1
3,167,999,-42.7,4.96,5228.1
1,793,999,-36.4,4.857,5191.0
3,72,999,-42.7,4.961,5228.1
1,65,999,-36.4,4.86,5191.0
1,10,999,-46.2,1.281,5099.1
5,131,8,-26.9,0.7390000000000001,5017.5
4,135,4,-31.4,0.873,5076.2
6,72,999,-42.0,4.0760000000000005,5195.8
6,132,999,-42.0,4.12,5195.8
8,78,999,-50.0,1.52,5099.1
1,169,999,-46.2,1.25,5099.1
3,198,999,-42.7,4.962,5228.1
2,41,999,-41.8,4.8660000000000005,5228.1
3,237,999,-42.7,4.961,5228.1
1,518,999,-36.4,4.8580000000000005,5191.0
1,247,999,-46.2,1.327,5099.1
1,166,999,-46.2,1.291,5099.1
1,95,999,-36.4,4.857,5191.0
4,134,999,-36.1,4.966,5228.1
6,217,999,-42.0,4.7,5195.8
2,327,999,-41.8,4.959,5228.1
1,410,999,-46.2,1.334,5099.1
2,699,999,-41.8,4.961,5228.1
6,164,999,-42.0,4.12,5195.8
1,445,999,-36.4,4.857,5191.0
3,197,999,-42.7,4.962,5228.1
3,458,999,-42.7,4.962,5228.1
1,140,999,-36.4,4.857,5191.0
1,760,999,-46.2,1.25,5099.1
3,53,999,-42.7,4.96,5228.1
1,485,999,-36.4,4.856,5191.0
1,68,999,-36.4,4.856,5191.0
3,338,999,-42.7,4.962,5228.1
1,890,999,-36.4,4.8580000000000005,5191.0
6,119,999,-42.0,4.191,5195.8
3,28,999,-40.3,0.782,4991.6
9,351,999,-47.1,1.405,5099.1
1,236,999,-46.2,1.291,5099.1
1,1015,999,-46.2,1.25,5099.1
9,427,999,-47.1,1.423,5099.1
3,236,999,-42.7,4.962,5228.1
3,1473,999,-42.7,4.957,5228.1
8,295,3,-34.8,0.6459999999999999,5008.7
4,140,999,-31.4,0.8690000000000001,5076.2
2,204,999,-41.8,4.959,5228.1
3,338,999,-42.7,4.963,5228.1
3,120,999,-42.7,4.961,5228.1
1,289,999,-46.2,1.25,5099.1
1,238,999,-36.4,4.86,5191.0
3,474,999,-40.3,0.8220000000000001,4991.6
6,209,999,-42.0,4.191,5195.8
6,340,999,-42.0,4.12,5195.8
3,251,999,-42.7,4.957,5228.1
8,279,999,-34.8,0.6459999999999999,5008.7
1,234,999,-46.2,1.281,5099.1
6,181,999,-42.0,4.191,5195.8
3,769,999,-42.7,4.961,5228.1
4,136,999,-36.1,4.9639999999999995,5228.1
3,400,999,-42.7,4.962,5228.1
2,93,999,-41.8,4.961,5228.1
2,143,999,-41.8,4.961,5228.1
6,244,999,-42.0,4.0760000000000005,5195.8
2,119,999,-41.8,4.864,5228.1
6,362,999,-42.0,4.021,5195.8
4,56,999,-36.1,4.962,5228.1
3,126,999,-42.7,4.963,5228.1
9,514,999,-47.1,1.405,5099.1
2,108,999,-41.8,4.967,5228.1
9,243,999,-47.1,1.483,5099.1
3,55,999,-42.7,4.961,5228.1
1,606,999,-36.4,4.859,5191.0
1,159,999,-46.2,1.281,5099.1
10,39,999,-29.8,0.77,5017.5
1,85,999,-46.2,1.327,5099.1
6,729,999,-42.0,4.12,5195.8
2,92,999,-41.8,4.961,5228.1
1,95,999,-36.4,4.855,5191.0
1,1224,999,-36.4,4.857,5191.0
4,233,999,-31.4,0.873,5076.2
3,1389,999,-42.7,4.963,5228.1
6,116,999,-42.0,4.191,5195.8
6,209,999,-42.0,4.0760000000000005,5195.8
3,102,999,-42.7,4.968,5228.1
4,604,999,-36.1,4.966,5228.1
6,40,999,-42.0,4.1530000000000005,5195.8
3,167,999,-33.6,1.0290000000000001,5076.2
1,911,2,-46.2,1.266,5099.1
3,768,3,-40.3,0.889,4991.6
9,404,999,-47.1,1.405,5099.1
1,1267,999,-40.0,0.6679999999999999,5008.7
2,393,999,-40.8,1.235,5076.2
4,420,999,-36.1,4.9639999999999995,5228.1
1,170,999,-36.4,4.864,5191.0
1,278,999,-36.4,4.86,5191.0
2,197,999,-41.8,4.961,5228.1
1,107,999,-36.4,4.857,5191.0
1,774,999,-46.2,1.281,5099.1
3,40,999,-42.7,4.968,5228.1
3,434,999,-42.7,4.963,5228.1
2,119,999,-39.8,0.7020000000000001,4991.6
6,60,999,-42.0,4.0760000000000005,5195.8
1,104,999,-46.2,1.354,5099.1
2,151,999,-40.8,1.266,5076.2
3,89,999,-42.7,4.955,5228.1
4,119,999,-31.4,0.879,5076.2
3,8,999,-42.7,4.968,5228.1
9,75,999,-47.1,1.41,5099.1
6,285,999,-42.0,4.12,5195.8
4,126,999,-36.1,4.9639999999999995,5228.1
6,65,999,-42.0,4.021,5195.8
2,55,999,-41.8,4.959,5228.1
1,44,999,-46.2,1.25,5099.1
9,1624,999,-47.1,1.405,5099.1
4,16,999,-36.1,4.962,5228.1
1,223,999,-36.4,4.859,5191.0
1,360,999,-36.4,4.859,5191.0
4,79,6,-31.4,0.821,5076.2
1,53,999,-46.2,1.281,5099.1
3,10,999,-40.3,0.782,4991.6
2,269,999,-41.8,4.962,5228.1
4,637,999,-36.1,4.967,5228.1
4,8,999,-36.1,4.962,5228.1
1,102,999,-36.4,4.855,5191.0
4,119,999,-36.1,4.965,5228.1
1,135,999,-36.4,4.857,5191.0
3,70,999,-42.7,4.963,5228.1
1,143,999,-36.4,4.855,5191.0
6,347,999,-42.0,4.021,5195.8
3,31,999,-42.7,4.961,5228.1
1,262,999,-36.4,4.857,5191.0
6,278,999,-42.0,4.0760000000000005,5195.8
1,1205,999,-36.4,4.857,5191.0
3,197,999,-42.7,4.962,5228.1
3,338,999,-42.7,4.96,5228.1
3,128,999,-42.7,4.963,5228.1
10,994,999,-29.8,0.768,5017.5
2,241,999,-41.8,4.959,5228.1
3,524,999,-42.7,4.957,5228.1
1,57,999,-46.2,1.281,5099.1
9,472,999,-47.1,1.41,5099.1
8,119,999,-34.8,0.649,5008.7
1,227,999,-46.2,1.327,5099.1
1,599,999,-36.4,4.86,5191.0
6,76,999,-42.0,4.021,5195.8
3,28,999,-42.7,4.962,5228.1
1,152,999,-36.4,4.86,5191.0
1,487,999,-46.2,1.3130000000000002,5099.1
4,124,1,-31.4,0.879,5076.2
1,559,999,-36.4,4.856,5191.0
1,132,999,-46.2,1.3130000000000002,5099.1
6,808,999,-42.0,4.0760000000000005,5195.8
8,117,999,-50.0,1.538,5099.1
1,145,999,-36.4,4.859,5191.0
1,193,999,-36.4,4.857,5191.0
2,332,999,-41.8,4.962,5228.1
4,273,999,-36.1,4.9639999999999995,5228.1
3,58,999,-42.7,4.958,5228.1
3,108,999,-42.7,4.963,5228.1
9,125,999,-47.1,1.41,5099.1
1,382,999,-46.2,1.266,5099.1
6,1239,999,-42.0,4.406000000000001,5195.8
3,258,999,-42.7,4.962,5228.1
1,97,999,-46.2,1.281,5099.1
9,111,999,-47.1,1.423,5099.1
3,192,999,-42.7,4.963,5228.1
2,76,999,-41.8,4.961,5228.1
2,114,999,-40.8,1.26,5076.2
6,84,999,-42.0,4.1530000000000005,5195.8
4,221,4,-31.4,0.8809999999999999,5076.2
2,173,999,-41.8,4.961,5228.1
1,465,999,-36.4,4.857,5191.0
4,51,999,-36.1,4.968,5228.1
1,103,999,-46.2,1.25,5099.1
1,243,999,-36.4,4.859,5191.0
2,479,999,-41.8,4.865,5228.1
3,1044,999,-42.7,4.959,5228.1
3,62,999,-42.7,4.961,5228.1
1,220,999,-46.2,1.281,5099.1
6,90,999,-30.1,0.7190000000000001,5017.5
3,130,999,-42.7,4.962,5228.1
3,1062,999,-42.7,4.962,5228.1
1,314,999,-36.4,4.857,5191.0
4,71,999,-36.1,4.966,5228.1
9,583,5,-47.1,1.41,5099.1
3,685,999,-42.7,4.96,5228.1
6,228,999,-42.0,4.12,5195.8
1,538,999,-40.0,0.6990000000000001,5008.7
9,885,999,-47.1,1.405,5099.1
1,102,999,-46.2,1.25,5099.1
6,142,999,-42.0,4.191,5195.8
7,220,999,-33.0,0.715,5023.5
9,565,999,-47.1,1.423,5099.1
1,359,999,-36.4,4.859,5191.0
6,131,999,-42.0,4.1530000000000005,5195.8
2,231,999,-41.8,4.8660000000000005,5228.1
3,376,999,-42.7,4.961,5228.1
4,128,999,-36.1,4.963,5228.1
9,245,999,-47.1,1.405,5099.1
9,401,999,-47.1,1.365,5099.1
1,115,999,-46.2,1.327,5099.1
6,595,999,-42.0,4.191,5195.8
3,165,999,-42.7,4.963,5228.1
4,253,999,-36.1,4.9639999999999995,5228.1
3,88,999,-42.7,4.961,5228.1
1,377,999,-36.4,4.857,5191.0
2,57,999,-41.8,4.8660000000000005,5228.1
1,193,999,-46.2,1.344,5099.1
9,203,999,-47.1,1.405,5099.1
6,145,999,-42.0,4.12,5195.8
4,166,999,-36.1,4.963,5228.1
6,196,999,-42.0,4.12,5195.8
6,92,999,-42.0,4.191,5195.8
1,159,999,-36.4,4.857,5191.0
1,64,999,-46.2,1.25,5099.1
3,427,999,-40.3,0.884,4991.6
1,155,999,-36.4,4.86,5191.0
2,68,999,-41.8,4.959,5228.1
1,77,999,-46.2,1.354,5099.1
1,62,999,-46.2,1.291,5099.1
3,67,999,-42.7,4.968,5228.1
9,543,999,-47.1,1.445,5099.1
2,69,999,-40.8,1.266,5076.2
1,379,999,-36.4,4.864,5191.0
3,167,999,-42.7,4.957,5228.1
3,109,999,-33.6,0.9079999999999999,5076.2
2,97,999,-41.8,4.8660000000000005,5228.1
1,934,999,-46.2,1.2990000000000002,5099.1
3,185,999,-42.7,4.963,5228.1
4,145,999,-36.1,4.9639999999999995,5228.1
3,355,3,-40.3,0.884,4991.6
5,424,7,-26.9,0.722,5017.5
1,102,999,-36.4,4.857,5191.0
9,1112,999,-47.1,1.405,5099.1
1,41,999,-46.2,1.2990000000000002,5099.1
4,171,999,-36.1,4.9639999999999995,5228.1
4,171,999,-36.1,4.9639999999999995,5228.1
1,502,999,-46.2,1.2990000000000002,5099.1
1,254,999,-40.0,0.6920000000000001,5008.7
4,78,999,-36.1,4.965,5228.1
1,21,999,-46.2,1.2990000000000002,5099.1
9,416,999,-47.1,1.405,5099.1
4,191,999,-36.1,4.965,5228.1
3,323,999,-42.7,4.962,5228.1
2,175,999,-41.8,4.8660000000000005,5228.1
1,851,999,-36.4,4.859,5191.0
1,98,999,-36.4,4.857,5191.0
4,77,999,-36.1,4.9639999999999995,5228.1
1,413,999,-36.4,4.857,5191.0
9,124,999,-47.1,1.405,5099.1
4,14,999,-36.1,4.965,5228.1
1,836,999,-36.4,4.857,5191.0
3,735,999,-42.7,4.961,5228.1
1,284,999,-36.4,4.856,5191.0
2,123,999,-41.8,4.864,5228.1
6,104,1,-42.0,4.1530000000000005,5195.8
6,470,999,-42.0,4.12,5195.8
1,217,999,-46.2,1.266,5099.1
1,919,999,-36.4,4.856,5191.0
1,195,999,-36.4,4.857,5191.0
6,536,999,-42.0,4.191,5195.8
4,183,999,-36.1,4.965,5228.1
1,8,999,-36.4,4.859,5191.0
1,66,999,-46.2,1.2990000000000002,5099.1
4,203,999,-36.1,4.9639999999999995,5228.1
3,574,999,-42.7,4.96,5228.1
2,663,999,-40.8,1.262,5076.2
9,104,999,-47.1,1.423,5099.1
4,190,999,-36.1,4.965,5228.1
3,1005,4,-40.3,0.8959999999999999,4991.6
9,99,999,-47.1,1.415,5099.1
6,47,999,-42.0,4.1530000000000005,5195.8
2,239,999,-41.8,4.864,5228.1
1,47,999,-46.2,1.266,5099.1
1,88,999,-36.4,4.859,5191.0
2,154,999,-40.8,1.262,5076.2
2,383,999,-41.8,4.967,5228.1
6,87,999,-42.0,4.12,5195.8
1,304,999,-46.2,1.2990000000000002,5099.1
3,46,999,-42.7,4.96,5228.1
4,96,999,-36.1,4.963,5228.1
1,186,999,-36.4,4.855,5191.0
3,399,999,-42.7,4.962,5228.1
6,167,999,-42.0,4.191,5195.8
4,73,4,-31.4,0.879,5076.2
2,89,999,-40.8,1.26,5076.2
1,563,999,-46.2,1.2590000000000001,5099.1
2,1469,999,-41.8,4.967,5228.1
2,287,999,-41.8,4.961,5228.1
2,81,999,-41.8,4.864,5228.1
1,136,3,-46.2,1.27,5099.1
4,165,999,-36.1,4.963,5228.1
8,80,999,-50.0,1.65,5099.1
1,163,999,-46.2,1.3130000000000002,5099.1
1,291,999,-46.2,1.3130000000000002,5099.1
6,214,999,-42.0,4.12,5195.8
9,419,999,-47.1,1.405,5099.1
1,228,999,-46.2,1.344,5099.1
1,396,999,-46.2,1.266,5099.1
1,422,999,-36.4,4.864,5191.0
4,68,999,-36.1,4.966,5228.1
3,187,999,-42.7,4.96,5228.1
3,243,999,-42.7,4.96,5228.1
3,1412,999,-42.7,4.961,5228.1
4,78,999,-36.1,4.968,5228.1
1,202,999,-36.4,4.855,5191.0
1,44,999,-36.4,4.859,5191.0
2,259,999,-41.8,4.864,5228.1
1,100,999,-36.4,4.857,5191.0
4,565,999,-36.1,4.965,5228.1
6,57,999,-42.0,4.12,5195.8
1,47,999,-46.2,1.3130000000000002,5099.1
3,109,999,-42.7,4.963,5228.1
9,112,999,-47.1,1.405,5099.1
1,99,999,-46.2,1.3130000000000002,5099.1
2,174,3,-40.8,1.266,5076.2
